sort_no,term,definition,category,example,source_page,difficulty,tags
434,川流不息,形容行人、车马很多，像水流一样连续不断。,第三十九组 热闹与孤独,,14,,
435,万人空巷,等盛况。空巷：街道里弄里的人全部走空。指家家户户的人都从巷里出来了。多形容庆祝、欢迎,第三十九组 热闹与孤独,,14,,
436,子然一身,子然：孤单的样子。指孤身一人。（常用褒义，形容追寻事业或理想）,第三十九组 热闹与孤独,,14,,
437,茕茕子立,茕茕：孤单，无依靠。子立：孤立。形容一个人孤苦伶仃，无依无靠。,第三十九组 热闹与孤独,,14,,
438,形影相吊,吊：慰间。只有自己的身体和影子相互慰问。形容无依无靠，非常孤单。,第三十九组 热闹与孤独,,14,,
439,形单影只,只：指单独。形容孤独，没有伴侣。,第三十九组 热闹与孤独,,14,,
440,参差不齐,参差：高低、大小不齐的样子。形容不一致、有差别。（多搭配水平、质量、进展等）,第四十组 好坏掺杂,,14,,
441,泥沙俱下,俱：都。泥土和沙子一同随水冲了下来。比喻人或事物好坏混杂在一起。【侧重量大且好坏都有）,第四十组 好坏掺杂,,14,,
442,良莠不齐,（现在用法不止形容人，也可形容事物）莠：狗尾草，比喻坏人。指好人、坏人混在一起。同“良莠不一”。,第四十组 好坏掺杂,,14,,
443,鱼龙混杂,比喻坏人和好人混在一起。同“龙蛇混杂”。（现在用法不止形容人，也可形容事物）,第四十组 好坏掺杂,,14,,
444,鱼目混珠,用鱼眼睛假冒珍珠。比喻以假乱真。（也可指以次充好）,第四十组 好坏掺杂,,14,,
445,滥竽充数,。也比喻以次充好。（可用于自谦滥：失实，不真实。竽：一种簧管乐器。比喻没有真实本领的人，混在行家队伍里充数,第四十组 好坏掺杂,,14,,
446,买椟还珠,椟：木匣子。还：退还。比喻没有眼光，不识货，取舍失当。,第四十组 好坏掺杂,,14,,
447,蔚然成风,蔚然：草木茂盛的样子。形容一种事物逐渐发展流行，形成风气。（多含褒义）,第四十一组 流行与名声,,14,,
448,风靡一时,靡：倒下。风靡：风一吹就随之倒下。形容某一种事物在一个时期内非常流行。（中性）,第四十一组 流行与名声,,14,,
449,如雷贯耳,形容人的名声很大。,第四十一组 流行与名声,,14,,
450,炙手可热,炙：烤。手一靠近就感觉很烫，比喻气焰盛，权势大。,第四十一组 流行与名声,,14,,
451,名噪一时,意思是一时名声很大。指名声传扬于一个时期。,第四十一组 流行与名声,,14,,
452,闻名遐迩,形容名声很大，主要指远近闻名。,第四十一组 流行与名声,,15,,
453,靡然成风,指相互跟风，群起效尤而成风气，贬义词，多指不好的风气。,第四十一组 流行与名声,,15,,
454,大行其道,新潮事物流行成为一种风尚。（中性，多贬义）,第四十一组 流行与名声,,15,,
455,甚嚣尘上,甚：很。嚣：喧闹。尘上：尘土飞扬。形容对某事议论纷纷。（中性，多贬义）,第四十一组 流行与名声,,15,,
456,煊赫一时,意思是在一段时期内名声威势很盛，含贬意。,第四十一组 流行与名声,,15,,
457,过江之鲫,比喻某种事物非常流行或时兴，数量众多，并且往往带有盲目跟风的意味。,第四十一组 流行与名声,,15,,
458,趋之若鹜,鹜：鸭子。像鸭子一样成群地跑过去。比喻很多人争相追逐、趋附。含贬义。,第四十一组 流行与名声,,15,,
459,声名鹊起,鹊起：喻指名声大作。形容名声迅速提高。,第四十一组 流行与名声,,15,,
460,名声大噪,名声广泛地传播开去。噪：传扬。,第四十一组 流行与名声,,15,,
461,以讹传讹,把本来就不正确的话又错误地传出去，结果越传越错。,第四十二组 与传播、传闻相关,,15,,
462,无孔不入,比喻见空子就钻；利用一切漏洞或机会。（多指做坏事）,第四十二组 与传播、传闻相关,,15,,
463,铺天盖地,形容来势猛，声势大，到处都是。,第四十二组 与传播、传闻相关,,15,,
464,道听途说,途：道路。在路上听来的话，又在路上向人传播。指没有根据的传言。,第四十二组 与传播、传闻相关,,15,,
465,街谈巷议,指人们在街头巷尾闲谈议论。也指街头巷尾人们的议论。,第四十二组 与传播、传闻相关,,15,,
466,稗官野史,稗官：古代专门给帝王讲述街谈巷议、风俗故事的小官，后作为小说的代称。野史：私家记载的逸闻琐事之作。后用来称小说及不见经传的逸闻琐事的著述。,第四十二组 与传播、传闻相关,,15,,
467,逸闻轶事,指世人不大知道而感兴趣的传闻和故事。,第四十二组 与传播、传闻相关,,15,,
468,脍炙人口,所喜爱和传诵。脍：切得很细的肉。炙：烤熟的肉。美味的食品人人爱吃。比喻好的诗文或事物为众人,第四十二组 与传播、传闻相关,,15,,
469,津津乐道,指很有兴趣地谈论。,第四十二组 与传播、传闻相关,,15,,
470,喜闻乐见,意思是喜欢听，乐意看。形容很受欢迎。,第四十二组 与传播、传闻相关,,15,,
471,深入人心,指思想、理论等广泛地得到人们的理解和接受。,第四十二组 与传播、传闻相关,,15,,
472,灰飞烟灭,比喻人或事物迅即消失。,第四十三组 与消失、重现相关,,15,,
473,化为乌有,乌有：虚幻，不存在。指变得什么都没有。,第四十三组 与消失、重现相关,,15,,
474,子虚乌有,指假设的、不存在的事情。,第四十三组 与消失、重现相关,,15,,
475,稍纵即逝,纵：放松。逝：消失。稍微一放松就消失了。形容时间或机会很容易丢失。,第四十三组 与消失、重现相关,,15,,
476,昙花一现,比喻人或事物存在的时间很短，刚一出现就迅速消失了。,第四十三组 与消失、重现相关,,15,,
477,销声匿迹,销声：消除声音。匿迹：隐匿踪迹。指隐藏起来或不公开露面。同“消声匿迹”“匿迹销声”。,第四十三组 与消失、重现相关,,15,,
478,烟消云散,比喻事物全部消失。同“烟消雾散”。,第四十三组 与消失、重现相关,,15,,
479,偃旗息鼓,偃：放倒。息：停息。放倒旗帜，停止击鼓，指军队为不暴露目标而隐蔽行动或停止作战。后也比喻事情中止。也作“掩旗息鼓”。,第四十三组 与消失、重现相关,,15,,
480,无影无踪,没有一点踪影。形容完全消失，不知去向。,第四十三组 与消失、重现相关,,15,,
481,死灰复燃,死灰：冷却了的灰。燃：烧。冷却的灰又重新烧起来。比喻失势的人又重新得势。也比喻已经消亡的事物又重新活动起来。多含贬义。,第四十三组 与消失、重现相关,,15,,
482,卷土重来,卷士：卷起尘土。形容人马奔跑之状。比喻失败以后又重新恢复势力；也比喻消失了的人或事物重新出现。（中性，多贬义）,第四十三组 与消失、重现相关,,15,,
483,沉渣泛起,渣：渣滓。泛：浮。已经沉到水底的渣滓又漂浮了起来。比喻已经绝迹了的腐朽、陈旧事物又重新出现。（贬义）,第四十三组 与消失、重现相关,,15,,
484,土崩瓦解,瓦破碎一样，不可收拾。比喻彻底垮台。瓦解：制瓦时先把陶土制成圆筒形，分解为四，即成瓦，比喻事物的分裂。象土崩塌，,第四十三组 与消失、重现相关,,15,,
485,分崩离析,分：分开。崩：倒塌。离析：离散。形容家庭、集团、组织或国家分裂瓦解。,第四十三组 与消失、重现相关,,15,,
486,毋庸置疑,毋：无。庸：用。置疑：怀疑。用不着怀疑。,第四十四组 明显、含糊相关,,16,,
487,显而易见,事情或道理非常明显，极容易看清楚。,第四十四组 明显、含糊相关,,16,,
488,不言而喻,喻：明白。不用说什么就能明白。也作“不言自明”。,第四十四组 明显、含糊相关,,16,,
489,昭然若揭,昭然：明显、显著的样子。揭：原意为高举，现也指揭开。意思是形容真相毕露，所有-切都已显现了出来。,第四十四组 明显、含糊相关,,16,,
490,彰明较著,形容极其明显，很容易看清楚。,第四十四组 明显、含糊相关,,16,,
491,有目共睹,形容人人都可以看到，极其明显。,第四十四组 明显、含糊相关,,16,,
492,一目了然,一眼就看得很清楚。形容事物、事情原委很清晰，一看就知道是怎么回事。,第四十四组 明显、含糊相关,,16,,
493,大张旗鼓,形容进攻的声势和规模很大；也形容群众活动声势和规模很大。,第四十四组 明显、含糊相关,,16,,
494,语焉不详,是指虽然提到了，但说得不详细。,第四十四组 明显、含糊相关,,16,,
495,讳莫如深,原意为事件重大，讳而不言。后指把事情隐瞒得很紧。,第四十四组 明显、含糊相关,,16,,
496,暗度陈仓,意思是指暗中进行某种活动。,第四十四组 明显、含糊相关,,16,,
497,不露声色,意思是心里面的计划或者想法并不通过言语和面部表情直接表现出来。,第四十四组 明显、含糊相关,,16,,
498,闪烁其词,指说话故意含糊其辞、回避真相或要害问题，带有遮掩或推诿的意味。,第四十四组 明显、含糊相关,,16,,
499,视而不见,睁着眼睛看，却什么也没看见。指不注意，不重视。也指不理睬，看见了当作没看见。常与“听而不闻”连用。,第四十五组 重视、重要相关,,16,,
500,置若罔闻,置：放，指放在一边。若：好像。罔：没有。放在一边，好像没有听到。指不加理睬。,第四十五组 重视、重要相关,,16,,
501,熟视无睹,熟视：细看，经常看。睹：看见。看惯了就像没看见一样。也指对眼前的事物或现象漠不关心。,第四十五组 重视、重要相关,,16,,
502,闭目塞听,塞：堵塞。闭着眼睛，堵住耳朵。指不与外界接触，脱离实际。,第四十五组 重视、重要相关,,16,,
503,充耳不闻,（主观上故意或不重视充：塞住。形容故意不听别人的话。也形容对某些事漠不关心。也作“听而不闻”。,第四十五组 重视、重要相关,,16,,
504,置之不理,置：放置。理：理睬。指放在一边而不予理睬。也作“置之不顾”。,第四十五组 重视、重要相关,,16,,
505,嗤之以鼻,嗤：讥笑。用鼻子发出笑声，表示轻蔑，不以为然。,第四十五组 重视、重要相关,,16,,
506,视如敝屣,敝屣：破鞋子。像破烂鞋子一样看待。比喻非常轻视。,第四十五组 重视、重要相关,,16,,
507,不屑一顾,不屑：认为不值得。顾：回头看。不值得一看，表示轻视、看不起。,第四十五组 重视、重要相关,,16,,
508,束之高阁,（多形容有价值的东西）阁：放东西的架子。把东西捆绑起来，放在高高的架子上。比喻弃置不用。,第四十五组 重视、重要相关,,16,,
509,爱不释手,释：放下。喜爱得舍不得放手。,第四十五组 重视、重要相关,,16,,
510,手不释卷,迷卷：古代指抄写的卷帙，即书籍。手中一直拿着书籍片刻不放。形容勤勉好学或读书入,第四十五组 重视、重要相关,,16,,
511,视若珍宝,形容十分珍爱，将其当成无价之宝。,第四十五组 重视、重要相关,,16,,
512,奉为圭臬,奉：信奉，尊奉。圭臬：古代用以测日影的仪器，比喻法度或准则。指把某些事物或言论尊奉为准则。,第四十五组 重视、重要相关,,16,,
513,举足轻重,形容有实力，地位重要，能左右局势的发展。,第四十五组 重视、重要相关,,16,,
514,无足轻重,没有它并不轻些，有它也并不重些。指无关紧要。末节：小事情，小节。细小的树枝，微末的环节。比喻事情或问题的细小而无关紧要的,第四十五组 重视、重要相关,,16,,
515,细枝末节,部分。,第四十五组 重视、重要相关,,16,,
516,驾轻就熟,比喻对所做的事情熟悉，办起来容易。,第四十六组 熟悉、了解、知晓相关,,16,,
517,轻车熟路,轻车：负载轻的车子。驾着负载很轻的车子，走熟悉的道路。比喻事情又轻松又熟悉，办起来很容易。,第四十六组 熟悉、了解、知晓相关,,16,,
518,了如指掌,人看一样。了：明了，明白。指掌：指着手掌。指对事物的了解非常清楚，像把东西放在手掌里让,第四十六组 熟悉、了解、知晓相关,,17,,
519,耳熟能详,详：详细地说出来。指听得多了，也就能详尽地讲述出来。,第四十六组 熟悉、了解、知晓相关,,17,,
520,如数家珍,家珍：家中收藏的珍宝。如同数自己家藏的珍宝那样清楚。形容对所讲述的东西非常熟悉。,第四十六组 熟悉、了解、知晓相关,,17,,
521,烂熟于心,烂：程度很深。心中有数，十分熟悉,第四十六组 熟悉、了解、知晓相关,,17,,
522,人尽皆知,一定范围内的人都知道了。也就是说大家都知道了。,第四十六组 熟悉、了解、知晓相关,,17,,
523,妇孺皆知,孺：小孩。妇女、小孩全都知道。指众所周知。,第四十六组 熟悉、了解、知晓相关,,17,,
524,家喻户晓,喻：知道，明白。家家户户都知道。形容人人皆知。,第四十六组 熟悉、了解、知晓相关,,17,,
525,一无所知,意思是什么也不知道。,第四十六组 熟悉、了解、知晓相关,,17,,
526,不甚了了,意思是指心里不太明白，不是很清楚。,第四十六组 熟悉、了解、知晓相关,,17,,
527,默默无闻,意思是指做事无声无息，无人知晓，做了好事不声张，不图名利，没人知道。,第四十六组 熟悉、了解、知晓相关,,17,,
528,鲜为人知,鲜：少。为：被。知：知道。很少有人知道。,第四十六组 熟悉、了解、知晓相关,,17,,
529,匪夷所思,形容人的思想、言谈、技艺、事情等离奇，超出寻常，指行为举止离奇古怪，超出常情，不是一般人根据常理所能想象的。,第四十六组 熟悉、了解、知晓相关,,17,,
530,不可思议,原有神秘奥妙的意思，是佛教用语。现多指无法想象，难以理解。,第四十六组 熟悉、了解、知晓相关,,17,,
531,司空见惯,原指司空看惯了某事以为平淡；后比喻常见之事；不足为奇。,第四十七组 很常见不奇怪,,17,,
532,屡见不鲜,鲜：新鲜。经常见到，并不新鲜。同“数见不鲜”。,第四十七组 很常见不奇怪,,17,,
533,不足为奇,不值得奇怪。指某些现象或事物很平常，没有什么特别的。,第四十七组 很常见不奇怪,,17,,
534,习以为常,常做某种事情或常见某种现象，成了习惯，就觉得很平常了。,第四十七组 很常见不奇怪,,17,,
535,不足为奇,不值得奇怪。指某些现象或事物很平常，没有什么特别的。,第四十七组 很常见不奇怪,,17,,
536,见怪不怪,看到奇异的事物，镇定自若，不大惊小怪。,第四十七组 很常见不奇怪,,17,,
537,无独有偶,意思是虽然罕见，但是不止一个，还有可以配对的，表示两件事或两个人十分相似。,第四十七组 很常见不奇怪,,17,,
538,习焉不察,察不到其中存在的问题。习：习惯；焉：语气词，有“于此”的意思；察：觉察。指经常接触某种事物，反而觉,第四十七组 很常见不奇怪,,17,,
539,各持己见,持：抓住不放。各人都坚持自己的意见。,第四十八组 看法一致与否,,17,,
540,众说纷纭,（前面可加主语，也可不加主语；有时可做形容词，侧重观点多）纷纭：多而姑乱。人多嘴杂，议论纷纷。,第四十八组 看法一致与否,,17,,
541,莫衷一是,莫：不能。衷：折衷，判断。是：对。不能断定哪个对，哪个不对。也指意见纷纭，分歧很大，不能得出一致的结论，侧重观点难以统一。,第四十八组 看法一致与否,,17,,
542,不置可否,置：搁置，安放；可否：可以不可以。不说可以，也不说不可以。指不表明自己的态度。,第四十八组 看法一致与否,,17,,
543,模棱两可,确的主张。模棱：含糊，不明确；两可：可以这样，也可以那样。指不表示明确的态度，或没有明,第四十八组 看法一致与否,,17,,
544,针锋相对,意思是针尖对锋芒。比喻双方在策略、论点及行动方式等方面尖锐对立,第四十八组 看法一致与否,,17,,
545,各执一词,指不同的人或群体持有不同的说法或观点，且这些观点往往相互对立，强调多方观点的对立与争论。核心在于展现不同立场间的矛盾冲突，常用于描述公开争论或复杂局面。,第四十八组 看法一致与否,,17,,
546,见仁见智,对同一事物或问题，不同的人因立场、角度或认知差异会产生不同的理解和看法。强调观点的主观性和多样性，常用于表达对分歧的包容态度。,第四十八组 看法一致与否,,17,,
547,众望所归,意思是用于形容某人威望很高，受到大家敬仰和信赖。,第四十八组 看法一致与否,,17,,
548,人心所向,意思指的是人民群众所拥护的、向往的事物或者方向。,第四十八组 看法一致与否,,17,,
549,不负众望,意思是指为人所信服，很争气，不辜负大家的期望。,第四十八组 看法一致与否,,17,,
550,不浮众望,孚：信服。不能使群众信服。,第四十八组 看法一致与否,,17,,
551,以偏概全,以：用；偏：片面；概：概括；全：全部。用片面的观点看待整体间题,第四十九组 从细节看全貌,,18,,
552,一孔之见,从一个小孔里看到的事物。比喻片面的观点见解。多谦称自己的看法。,第四十九组 从细节看全貌,,18,,
553,管窥蠡测,管：竹管。窥：从孔隙中看。蠡：瓠瓢。测：测量。管中视天，以瓢量海水，喻眼光狭小，见识不广或不自量力。（中性词，侧重整体与部分对比）,第四十九组 从细节看全貌,,18,,
554,盲人摸象,比喻看问题不全面，以偏概全。（现更多用字面义，形容做一件事毫无头绪地摸索）,第四十九组 从细节看全貌,,18,,
555,管中窥豹,管：竹管。从管中看豹。比喻见识狭小，看不到全面。（也可以比喻只看事物的一部分而推测全貌一最近多用，中性词，侧重整体与部分对比）,第四十九组 从细节看全貌,,18,,
556,坐井观天,比喻眼界不开阔，见识不广。,第四十九组 从细节看全貌,,18,,
557,一叶障目,眼睛被一片树叶挡住，指看不到事物的全貌。,第四十九组 从细节看全貌,,18,,
558,断章取义,引用他人文章或谈话，只截取其中一段的意思，而不顾全文和原意。,第四十九组 从细节看全貌,,18,,
559,一叶知秋,看见一片落叶，就知道秋天将临。比喻发现一点预兆就知道事物将来的发展趋向。也作“落叶知秋”“叶落知秋”。（侧重从预兆推知未来,第四十九组 从细节看全貌,,18,,
560,以小见大,从小的可以看出大的，指通过小事可以看出大节，或通过一小部分看出整体。侧重大小对比）微：小，指事物微小的迹象。著：显明，指事物的发展。谓看到事物的苗头，就能知道它,第四十九组 从细节看全貌,,18,,
561,见微知著,的未来发展趋势和实质。同“睹微知著”。（侧重大小对比）,第四十九组 从细节看全貌,,18,,
562,远见卓识,解释为有远大的眼光和卓越的见解。,第五十组 看事情透彻,,18,,
563,真知灼见,灼：明白，透彻。指正确而透彻的认识，高明的见解。,第五十组 看事情透彻,,18,,
564,鞭辟入里,形容做学问切实。今多形容分析问题透彻，切中要害。,第五十组 看事情透彻,,18,,
565,一针见血,意思是比喻说话直截了当，切中要害。,第五十组 看事情透彻,,18,,
566,一语中的,意思是指一句话就说中要害，一句话就说清了事情的重点。,第五十组 看事情透彻,,18,,
567,一语成谶,-句不好的话说中了，“不幸而言中”。,第五十组 看事情透彻,,18,,
568,字字珠玑,比喻说话或文章的词句非常优美，就像每个字都是珍贵的珍珠一样。,第五十组 看事情透彻,,18,,
569,洞若观火,洞：透彻。指清楚得就像看火一样，形容观察事物透彻分明。,第五十组 看事情透彻,,18,,
570,明察秋毫,明：视觉敏锐。察：看。秋毫：鸟兽秋天新长出的细毛。本义为视力好到能查辨秋天鸟兽的细毛。后多形容人精明，目光敏锐，能洞察一切。,第五十组 看事情透彻,,18,,
571,一目了然,一目：看一眼。了然：清楚，明白。一眼就可以看清楚。（侧重看得清楚）,第五十组 看事情透彻,,18,,
572,一览无余,（侧重看的全）览：看。余：剩余。形容一下子就可以看清楚。同“一览无遗”“一览而尽”。,第五十组 看事情透彻,,18,,
573,大有可为,比喻指前途极有希望，值得去做。,第五十一组对事情的态度与评价,,18,,
574,无可厚非,意为不可过分指责，表示虽有缺点，但是可以理解或原谅。也说未可厚非。,第五十一组对事情的态度与评价,,18,,
575,无可非议,意思是没有什么可以指责的，表示言行合乎情理。可用来形容人、事、思想、行动、品质等。差：尚，稍微。强：振奋。还算能振奋心意。形容大致上还能够令人满意。,第五十一组对事情的态度与评价,,18,,
576,差强人意,（现多误用，辨析词义,第五十一组对事情的态度与评价,,18,,
577,敬而远之,；表示尊敬却有所顾虑不愿接近。,第五十一组对事情的态度与评价,,18,,
578,毋庸讳言,意思是指用不着隐讳，可以直说的内容。毋庸指不用。,第五十一组对事情的态度与评价,,18,,
579,缄口不言,缄：封闭；言：说话。封住嘴巴；不开口说话。,第五十一组对事情的态度与评价,,18,,
580,乏善可陈,善：良好成绩；陈：陈述，告诉。意思是没有什么好的可以称道的。,第五十一组对事情的态度与评价,,18,,
581,凤毛麟角,风毛：风凰的毛。麟角：麒麟的角。比喻珍贵而稀少的人或事物。,第五十二组 数量多与少,,18,,
582,寥寥无几,寥寥：很少。很少，没有几个。形容数量极少。,第五十二组 数量多与少,,18,,
583,屈指可数,屈指：弯着手指头计算数日。弯着手指就可以数出来。形容数目很少。,第五十二组 数量多与少,,19,,
584,寥若晨星,稀少得好像清晨的星星一样。形容很少。,第五十二组 数量多与少,,19,,
585,车载斗量,能用车载，能用斗量，比喻数量多，不可胜数，多指不足为奇，很常见,第五十二组 数量多与少,,19,,
586,不胜枚举,【多用于形容举例子、枚举时）胜：尽。枚：量词，个。举：列举。不能够一个一个地全部列举出来。形容数量很多。,第五十二组 数量多与少,,19,,
587,俯拾皆是,形容到处都有，很容易取得。,第五十二组 数量多与少,,19,,
588,数不胜数,数：计算。胜：尽。形容数量极多，数也数不完。不是一事一物能够使之满足的。后也用来形容所说的事物或现象不止一种，而是很多，,第五十二组 数量多与少,,19,,
589,不一而足,不能一一列举。,第五十二组 数量多与少,,19,,
590,五花八门,原指五行阵和八门阵。这是古代两种战术变化很多的阵势。比喻变化多端或花样繁多。,第五十二组 数量多与少,,19,,
591,包罗万象,包罗：包括；万象：宇宙间的一切景象，指各种事物。形容内容丰富，应有尽有。,第五十二组 数量多与少,,19,,
592,林林总总,•林林：众多的样子；总总：众多而杂乱的样子。形容众多。,第五十二组 数量多与少,,19,,
593,汗牛充栋,充：装满。栋：栋宇，房屋。形容藏书或者著作极多。,第五十二组 数量多与少,,19,,
594,浩如烟海,【（多指书籍、文献等）浩：广大。烟海：雾气弥漫的大海。形容事物数量繁多，极其丰富。,第五十二组 数量多与少,,19,,
595,卷帙浩繁,形容书籍很多或一部书的篇幅很长。,第五十二组 数量多与少,,19,,
596,错落有致,意思是形容事物的布局虽然参差不齐，但却极有情趣，使人看了有好感,第五十三组建筑相关,,19,,
597,鳞次栉比,鳞：鱼鳞。次：次序。栉：梳子和篦子的总称。比：排列。像鱼鳞或梳篦的齿那样紧密地排列着。形容建筑物等密集、排列整齐的样子。,第五十三组建筑相关,,19,,
598,星罗棋布,意思是像天空中的星星和棋盘上的棋子一样罗列、分布着。形容数量众多，散布的范围很广。,第五十三组建筑相关,,19,,
599,美轮美奂,多用于形容建筑物雄伟壮观，富丽堂皇；也用来形容雕刻或建筑艺术的精美效果。,第五十三组建筑相关,,19,,
600,富丽堂皇,形容建筑物宏伟豪华。,第五十三组建筑相关,,19,,
601,雕梁画柱,彩绘装饰得十分华丽的房屋。,第五十三组建筑相关,,19,,
602,如出一辙,辙：车辙。好像出自同一车辙。比喻两种事物非常相似。（或两种以上事物）,第五十四组 相同与不同,,19,,
603,大同小异,指事物大体相同，略有差异。,第五十四组 相同与不同,,19,,
604,千篇一律,一千篇文章都一个样。指文章公式化。也比喻办事按一个格式，非常机械。,第五十四组 相同与不同,,19,,
605,不约而同,原意是事先没有约定而一齐前来会合。后用来指没有事先商量约定而彼此的看法或言行相同。（侧重行为上）,第五十四组 相同与不同,,19,,
606,不谋而合,【侧重思想上）谋：商量；合：相同。事先没有商量而彼此的做法或意见却相同。也作“不谋而同”。,第五十四组 相同与不同,,19,,
607,殊途同归,不同的；途：道路，途径；归：趋向。从不同的道路，走到同一个目的地。比喻采取不同的方法而得到相同的结果。,第五十四组 相同与不同,,19,,
608,异曲同工,曲：曲调。工：工巧，精致。比喻不同人的文艺作品同样精彩。也比喻不同的做法有同样的好的效果。,第五十四组 相同与不同,,19,,
609,大相径庭,径：门外小路。庭：厅堂前得院子。指彼此相差很远或截然不同。泾、滑：甘肃、陕西境内的两条河。古人认为泾水清、渭水浊。泾水流入渭水时，清浊,第五十四组 相同与不同,,19,,
610,泾渭分明,不混。比喻界限清楚、是非分明。,第五十四组 相同与不同,,19,,
611,相去甚远,互相之间存在很大差异和距离。,第五十四组 相同与不同,,19,,
612,判若云泥,意思是高低差别就像天上的云彩和地下的泥土那样悬殊。,第五十四组 相同与不同,,19,,
613,天壤之别,1指高天和平地的区别。极言差别之大。,第五十四组 相同与不同,,19,,
614,不分轩轻,意思是不分高下、轻重。比喻对待二者的态度或看法差不多。,第五十四组 相同与不同,,19,,
615,伯仲之间,伯伸，兄弟排行的次第，伯是老大，伸是老二；间，中间。比喻差不多，难分优劣。,第五十四组 相同与不同,,19,,
616,各有千秋,千秋：千年，指久远。各自有其可以长久流传的价值。也比喻各有各的优点和特色。,第五十四组 相同与不同,,20,,
617,平分秋色,原指昼和夜平均分占秋天景色。后比喻双方各得一半。也比喻两方平手，不分上下。庭：庭院。抗：对等。客人与主人分立在庭的两侧，以平等的地位相对行礼。后用来比,第五十四组 相同与不同,,20,,
618,分庭抗礼,喻彼此地位或势力相等，平起平坐或互相对立。,第五十四组 相同与不同,,20,,
619,巧夺天工,夺：压倒，胜过。人工的精巧胜过天然。形容技艺精妙高超。,第五十五组 技艺精湛,,20,,
620,精雕细琢,精心细致地雕刻琢磨。形容做事仔细用心。多指艺术品的创作。,第五十五组 技艺精湛,,20,,
621,鬼斧神工,形容技艺高超神妙。同“神工鬼斧”。（侧重非人工的）,第五十五组 技艺精湛,,20,,
622,精益求精,原意是已经很精致了，还要更加精致。精：完美，好；益：更加。比喻已经很好还求更好。,第五十五组 技艺精湛,,20,,
623,炉火纯青,意思是认为炼到炉里发出纯青色的火焰就算成功了，后用来比喻功夫达到了纯熟完美的境界。,第五十五组 技艺精湛,,20,,
624,登堂入室,堂、室：古代宫室前为堂后为室。比喻学识由浅入深，逐步达到很高的成就。同“升堂入室”。,第五十五组 技艺精湛,,20,,
625,登峰造极,意思是登上顶峰，指到达最高点；比喻学问、技艺等已达到最高的境界,第五十五组 技艺精湛,,20,,
626,目无全牛,比喻技艺熟练到了得心应手的境界。,第五十五组 技艺精湛,,20,,
627,得心应手,得心：指摸索到规律；应：适应。谓心手相应，运用自如。形容技艺纯熟，心手相应，或学识融会贯通。,第五十五组 技艺精湛,,20,,
628,粗制滥造,意思是写文章或做东西马虎草率，只求数量，不顾质量。,第五十五组 技艺精湛,,20,,
629,蔚为大观,种盛大的印象。蔚：茂盛；大观：盛大的景象。发展成为盛大壮观的景象。形容事物美好繁多，给人一,第五十六组 与观看欣赏相关,,20,,
630,洋洋大观,洋洋：盛大、众多的样子；大观：丰富多采的景象。形容美好的事物众多丰盛。,第五十六组 与观看欣赏相关,,20,,
631,琳琅满目,琳琅：美玉。所见皆美玉。比喻杰出人才、好文章或精美物品很多。（多形容商品）,第五十六组 与观看欣赏相关,,20,,
632,引人入胜,引：吸引。胜：胜地。带人进入风景优美的地方。形容风景、作品很吸引人。,第五十六组 与观看欣赏相关,,20,,
633,叹沩观止,叹：赞叹。观止：看到这里就停止，不再看别的了，称赞所看的事物尽善尽美。赞美所看到的事物好到了极点。,第五十六组 与观看欣赏相关,,20,,
634,赏心悦目,悦目：看了舒服。指看到美好的景色而心情愉快。,第五十六组 与观看欣赏相关,,20,,
635,目不暇接,暇：空闲。接：接触。眼睛来不及看。形容吸引人的事物很多，看不过来。（主语是人,第五十六组 与观看欣赏相关,,20,,
636,眼花缭乱,缭乱：纷乱。因看到繁杂的事物而感到迷乱。（主语是人）,第五十六组 与观看欣赏相关,,20,,
637,心向往之,对某个人或事物心里很向往。,第五十六组 与观看欣赏相关,,20,,
638,心驰神往,驰：奔驰。心神奔向所向往的事物。形容一心向往。,第五十六组 与观看欣赏相关,,20,,
639,魂牵梦萦,在梦魂中还牵挂萦绕着。形容思念深切，无法排遣。,第五十六组 与观看欣赏相关,,20,,
640,侃侃而谈,容，也可以形容一个人善于交谈、风度翩翩。（褒义词）“侃侃”指理直气壮，从容不迫。该成语可以表示一个人在说话时表现出的自信和从,第五十七组 “说”相关,,20,,
641,高谈阔论,指漫无边际地大发言论。（多含贬义）,第五十七组 “说”相关,,20,,
642,夸夸其谈,说话或写文章浮夸、不切实际。,第五十七组 “说”相关,,20,,
643,口若悬河,“悬河”指瀑布。意为说话滔滔不绝，像河水倾泄一样，形容能说善辩，话语不断。,第五十七组 “说”相关,,20,,
644,巧舌如簧,意思是舌头灵巧，能言善辩，形容能说会道，善于狡辩。,第五十七组 “说”相关,,20,,
645,巧言令色,用来形容那些擅长使用花言巧语和伪善的面容来取悦他人的人。（含贬义）,第五十七组 “说”相关,,20,,
646,娓娓道来,是一种说话的方式，意思是不紧不慢地、从容地讲述。,第五十七组 “说”相关,,20,,
647,信口雌黄,信：任凭，听任；雌黄：即鸡冠石，黄色矿物，用作颜料。古人用黄纸写字，写错了，用雌黄涂抹后改写。比喻不顾事实，随口乱说。,第五十七组 “说”相关,,20,,
648,人云亦云,云：说。人家怎么说，自己也跟着怎么说。指没有主见或创见。（侧重于说）,第五十七组 “说”相关,,21,,
649,拾人牙慧,拾：捡取。牙慧：指别人说过的话。比喻袭用他人的意见或言论。,第五十七组 “说”相关,,21,,
